step,res,loss
0,16,0.6785627603530884
1,32,0.5799194574356079
2,16,0.6643653512001038
3,32,0.6558002233505249
4,16,0.7187988758087158
5,32,0.7043272256851196
6,16,0.6798681616783142
7,32,0.6237214207649231
8,16,0.5650614500045776
9,32,0.5745387077331543
10,16,0.5974708795547485
11,32,0.4925297498703003
12,16,0.5839860439300537
13,32,0.7267209887504578
14,16,0.6397173404693604
15,32,0.5274300575256348
16,16,0.5573270320892334
17,32,0.6094045042991638
18,16,0.5943613052368164
19,32,0.5525068044662476
20,16,0.700866162776947
21,32,0.5763822197914124
22,16,0.6057716608047485
23,32,0.6482638120651245
24,16,0.5423686504364014
25,32,0.4638535678386688
26,16,0.5639722347259521
27,32,0.6148900389671326
28,16,0.5509306192398071
29,32,0.571869432926178
30,16,0.5645436644554138
31,32,0.4865547716617584
32,16,0.6025358438491821
33,32,0.5474908947944641
34,16,0.5151917338371277
35,32,0.49155688285827637
36,16,0.5392168164253235
37,32,0.4339818060398102
38,16,0.5575523972511292
39,32,0.5707696080207825
40,16,0.5657615661621094
41,32,0.5488196611404419
42,16,0.5752328038215637
43,32,0.5435900092124939
44,16,0.5620023608207703
45,32,0.47489506006240845
46,16,0.5573142170906067
47,32,0.6399391889572144
48,16,0.5759016871452332
49,32,0.46274182200431824
50,16,0.5452180504798889
51,32,0.5456543564796448
52,16,0.5212419033050537
53,32,0.626867413520813
54,16,0.540391743183136
55,32,0.4940608739852905
56,16,0.5753467082977295
57,32,0.43683379888534546
58,16,0.5321617126464844
59,32,0.41483914852142334
60,16,0.5152590274810791
61,32,0.4472346007823944
62,16,0.5480877757072449
63,32,0.5960161089897156
64,16,0.5650072693824768
65,32,0.5744131803512573
66,16,0.5240804553031921
67,32,0.5937844514846802
68,16,0.5996108651161194
69,32,0.4769636392593384
70,16,0.54045569896698
71,32,0.4727364480495453
72,16,0.5832604169845581
73,32,0.502901017665863
74,16,0.5877653360366821
75,32,0.5859754085540771
76,16,0.49029991030693054
77,32,0.5492001175880432
78,16,0.5235283970832825
79,32,0.4458986520767212
80,16,0.49544572830200195
81,32,0.6007256507873535
82,16,0.5575243830680847
83,32,0.507002055644989
84,16,0.5755152702331543
85,32,0.43486496806144714
86,16,0.5636472105979919
87,32,0.5824800729751587
88,16,0.4991258382797241
89,32,0.4431478977203369
90,16,0.558411180973053
91,32,0.405962198972702
92,16,0.5168150067329407
93,32,0.45530515909194946
94,16,0.5270962119102478
95,32,0.5865231156349182
96,16,0.5645297169685364
97,32,0.5845676064491272
98,16,0.6052082180976868
99,32,0.5902284979820251
100,16,0.5086655616760254
101,32,0.4685574173927307
102,16,0.5700451731681824
103,32,0.48265787959098816
104,16,0.496207594871521
105,32,0.6385757327079773
106,16,0.5639704465866089
107,32,0.39813777804374695
108,16,0.5518198609352112
109,32,0.5127567052841187
110,16,0.49524903297424316
111,32,0.5782432556152344
112,16,0.5648936629295349
113,32,0.5181712508201599
114,16,0.5228444933891296
115,32,0.5467422604560852
116,16,0.5093990564346313
117,32,0.6551430225372314
118,16,0.49204930663108826
