step,res,loss
0,16,0.7422516345977783
1,32,0.5465731620788574
2,16,0.558175265789032
3,32,0.5234414339065552
4,16,0.547523021697998
5,32,0.5479454398155212
6,16,0.5767908692359924
7,32,0.5260339975357056
8,16,0.5759401917457581
9,32,0.5131286382675171
10,16,0.5023505091667175
11,32,0.58537757396698
12,16,0.5013828277587891
13,32,0.4931388795375824
14,16,0.6087337732315063
15,32,0.6943250894546509
16,16,0.5245833396911621
17,32,0.5946421027183533
18,16,0.5181789398193359
19,32,0.4531988501548767
20,16,0.5918121337890625
21,32,0.5459792613983154
22,16,0.49901121854782104
23,32,0.4604074954986572
24,16,0.5425874590873718
25,32,0.5475281476974487
26,16,0.534483790397644
27,32,0.557034969329834
28,16,0.547798752784729
29,32,0.6239904165267944
30,16,0.6249475479125977
31,32,0.5751252174377441
32,16,0.6615073680877686
33,32,0.5075236558914185
34,16,0.6064870357513428
35,32,0.5088975429534912
36,16,0.6019365787506104
37,32,0.5895811319351196
38,16,0.5541716814041138
39,32,0.528375506401062
40,16,0.5506592988967896
41,32,0.49841928482055664
42,16,0.5015737414360046
43,32,0.7211620211601257
44,16,0.5951328873634338
45,32,0.4880791902542114
46,16,0.5619702935218811
47,32,0.5429341197013855
48,16,0.56228107213974
49,32,0.6494042873382568
50,16,0.49928396940231323
51,32,0.28762978315353394
52,16,0.5046446323394775
53,32,0.549167811870575
54,16,0.4794488847255707
55,32,0.6076590418815613
56,16,0.5650820136070251
57,32,0.5943471193313599
58,16,0.5085976123809814
59,32,0.6980298757553101
60,16,0.5729193091392517
61,32,0.5497504472732544
62,16,0.5565704107284546
63,32,0.555896520614624
64,16,0.5433875918388367
65,32,0.4345172345638275
66,16,0.5791155695915222
67,32,0.4903976321220398
68,16,0.49886268377304077
69,32,0.5474320650100708
70,16,0.5545993447303772
71,32,0.5130716562271118
72,16,0.5124289393424988
73,32,0.5588904023170471
74,16,0.5169945955276489
75,32,0.3968989849090576
76,16,0.5564930438995361
77,32,0.36458826065063477
78,16,0.5006033778190613
79,32,0.4832235276699066
80,16,0.4481281638145447
81,32,0.5117461681365967
82,16,0.4565374553203583
83,32,0.5953255891799927
84,16,0.4988355338573456
85,32,0.4777120053768158
86,16,0.48518896102905273
87,32,0.5070974826812744
88,16,0.4662338197231293
89,32,0.5320085883140564
90,16,0.5177794694900513
91,32,0.5141427516937256
92,16,0.46896833181381226
93,32,0.6160595417022705
94,16,0.5495325326919556
95,32,0.49134910106658936
96,16,0.44861239194869995
97,32,0.4883943796157837
98,16,0.4729795455932617
99,32,0.4591095447540283
100,16,0.48938941955566406
101,32,0.4103281497955322
102,16,0.5094467997550964
103,32,0.4925253391265869
104,16,0.4907723367214203
105,32,0.4477066993713379
106,16,0.4653511941432953
107,32,0.4707203805446625
108,16,0.501812219619751
109,32,0.5854764580726624
110,16,0.5106145739555359
111,32,0.4546874463558197
112,16,0.48294079303741455
113,32,0.2985456585884094
114,16,0.5049914717674255
115,32,0.3663027286529541
116,16,0.4397732615470886
117,32,0.5188848376274109
118,16,0.48790621757507324
119,32,0.4273158013820648
120,16,0.4922024607658386
121,32,0.488136351108551
122,16,0.4499218463897705
123,32,0.5051901340484619
124,16,0.5163949131965637
125,32,0.4425501227378845
126,16,0.5294898152351379
127,32,0.3477136492729187
128,16,0.45550400018692017
129,32,0.5145299434661865
130,16,0.4356255531311035
