step,res,loss
0,16,0.8927180767059326
1,32,0.6907803416252136
2,16,0.5632966160774231
3,32,0.5658941864967346
4,16,0.5781630873680115
5,32,0.6149150729179382
6,16,0.5665346384048462
7,32,0.6474229097366333
8,16,0.5913926959037781
9,32,0.5189666152000427
10,16,0.5087869167327881
11,32,0.5532773733139038
12,16,0.5337761640548706
13,32,0.43273040652275085
14,16,0.5282267332077026
15,32,0.5552938580513
16,16,0.5209439992904663
17,32,0.5886662006378174
18,16,0.526330292224884
19,32,0.6383087038993835
20,16,0.5417028665542603
21,32,0.4537731111049652
22,16,0.6142603158950806
23,32,0.5192309617996216
24,16,0.558324933052063
25,32,0.44461187720298767
26,16,0.5857262015342712
27,32,0.6075806021690369
28,16,0.5590986609458923
29,32,0.5652815103530884
30,16,0.5990409255027771
31,32,0.5843324065208435
32,16,0.5769987106323242
33,32,0.4423360228538513
34,16,0.6242920160293579
35,32,0.4986082911491394
36,16,0.6165885925292969
37,32,0.45842069387435913
38,16,0.6172515153884888
39,32,0.39651116728782654
40,16,0.4972380995750427
41,32,0.5192648768424988
42,16,0.5674116015434265
43,32,0.5916906595230103
44,16,0.5725096464157104
45,32,0.417669415473938
46,16,0.5669728517532349
47,32,0.4525335431098938
48,16,0.5545023083686829
49,32,0.582023024559021
50,16,0.5152112245559692
51,32,0.5225740671157837
52,16,0.46109604835510254
53,32,0.4192863702774048
54,16,0.6109719276428223
55,32,0.6327680945396423
56,16,0.4573593735694885
57,32,0.5099420547485352
58,16,0.5155460238456726
59,32,0.47846806049346924
60,16,0.5035094022750854
61,32,0.5493812561035156
62,16,0.5138003826141357
63,32,0.3022453188896179
64,16,0.4924911856651306
65,32,0.41676396131515503
66,16,0.4532533288002014
67,32,0.3485925793647766
68,16,0.37386903166770935
69,32,0.4051515460014343
70,16,0.5048896670341492
71,32,0.44286012649536133
72,16,0.4441375732421875
73,32,0.3751338720321655
74,16,0.43239641189575195
75,32,0.6686369776725769
76,16,0.41079455614089966
77,32,0.4549168348312378
78,16,0.4522654712200165
79,32,0.45451289415359497
80,16,0.4543578624725342
81,32,0.5401536226272583
82,16,0.4427127242088318
83,32,0.4085107743740082
84,16,0.4925750195980072
85,32,0.36249852180480957
86,16,0.5149637460708618
87,32,0.4321915805339813
88,16,0.4075894355773926
89,32,0.39138278365135193
90,16,0.45151910185813904
91,32,0.6171505451202393
92,16,0.45748764276504517
93,32,0.47910934686660767
94,16,0.4728066325187683
95,32,0.3675536811351776
96,16,0.4259800910949707
97,32,0.5301235914230347
98,16,0.4301683306694031
99,32,0.36994943022727966
100,16,0.3911874294281006
101,32,0.35009273886680603
102,16,0.44970712065696716
103,32,0.40019726753234863
104,16,0.4650910794734955
105,32,0.4715287387371063
106,16,0.4645143449306488
107,32,0.5148312449455261
108,16,0.4564802050590515
109,32,0.35437965393066406
110,16,0.4481506049633026
111,32,0.37815043330192566
112,16,0.4251304864883423
113,32,0.4671684205532074
114,16,0.4247536063194275
115,32,0.49125298857688904
116,16,0.478583425283432
117,32,0.4065176844596863
118,16,0.45305657386779785
119,32,0.41487154364585876
120,16,0.41337233781814575
121,32,0.4655953347682953
122,16,0.4536111354827881
123,32,0.3848598599433899
124,16,0.3838276267051697
125,32,0.5831853151321411
126,16,0.49844664335250854
127,32,0.4015560746192932
128,16,0.4651750922203064
129,32,0.5274604558944702
130,16,0.474231481552124
131,32,0.6217058897018433
132,16,0.4669191837310791
133,32,0.39741331338882446
134,16,0.5155878067016602
135,32,0.5517357587814331
136,16,0.491070032119751
137,32,0.3256855905056
138,16,0.4730563759803772
139,32,0.3702121675014496
140,16,0.46247929334640503
141,32,0.4837118983268738
142,16,0.43587183952331543
143,32,0.4034958481788635
144,16,0.4279062747955322
145,32,0.33231765031814575
146,16,0.4603418707847595
147,32,0.40383180975914
148,16,0.4976006746292114
149,32,0.3555353581905365
150,16,0.4555058181285858
151,32,0.3007296025753021
152,16,0.4642910957336426
153,32,0.3932044506072998
154,16,0.4883280396461487
155,32,0.4681522846221924
156,16,0.5009005665779114
157,32,0.49623069167137146
158,16,0.40544986724853516
159,32,0.49822887778282166
160,16,0.42099887132644653
161,32,0.3747023344039917
162,16,0.42797034978866577
163,32,0.4114318788051605
164,16,0.43795499205589294
165,32,0.30247440934181213
166,16,0.40634140372276306
167,32,0.41012057662010193
168,16,0.44365042448043823
169,32,0.5285196304321289
170,16,0.4142511785030365
171,32,0.30930063128471375
172,16,0.44263169169425964
173,32,0.43905553221702576
174,16,0.4510086178779602
175,32,0.4625784754753113
176,16,0.4376973509788513
177,32,0.49480974674224854
178,16,0.46675604581832886
179,32,0.3147100806236267
180,16,0.36551517248153687
181,32,0.38586390018463135
182,16,0.4092280864715576
183,32,0.47026678919792175
184,16,0.39559206366539
185,32,0.4774002432823181
186,16,0.42679280042648315
187,32,0.4679042100906372
188,16,0.4123842716217041
189,32,0.4346467852592468
190,16,0.3753145635128021
191,32,0.4611856937408447
192,16,0.4736573100090027
193,32,0.37981104850769043
194,16,0.39055144786834717
195,32,0.5348097085952759
196,16,0.3443046510219574
197,32,0.3078305125236511
198,16,0.4269779622554779
199,32,0.356961727142334
200,16,0.4259955585002899
201,32,0.2637062668800354
202,16,0.3334725797176361
203,32,0.389144629240036
204,16,0.4162234961986542
205,32,0.32473689317703247
206,16,0.3690186142921448
207,32,0.38399648666381836
208,16,0.39092302322387695
209,32,0.35216134786605835
210,16,0.4532766342163086
211,32,0.43348583579063416
212,16,0.45560380816459656
213,32,0.5740041136741638
214,16,0.4023301601409912
215,32,0.26698771119117737
216,16,0.3500780761241913
217,32,0.23642125725746155
218,16,0.41286012530326843
219,32,0.26454851031303406
220,16,0.4370564818382263
221,32,0.3746058940887451
222,16,0.43075674772262573
223,32,0.34154126048088074
224,16,0.39468201994895935
225,32,0.4283723831176758
226,16,0.38233131170272827
227,32,0.36921629309654236
228,16,0.40679439902305603
229,32,0.38644665479660034
230,16,0.41986608505249023
231,32,0.41358041763305664
232,16,0.4000212848186493
233,32,0.3204156458377838
234,16,0.3908294439315796
235,32,0.4136248230934143
236,16,0.45983073115348816
