step,res,loss
180,16,0.47523289918899536
181,32,0.47398197650909424
182,16,0.4360334277153015
183,32,0.4004325270652771
184,16,0.3973730802536011
185,32,0.3769499361515045
186,16,0.36544209718704224
187,32,0.4459928274154663
188,16,0.4470353424549103
189,32,0.3866351544857025
190,16,0.41999149322509766
191,32,0.2841290533542633
192,16,0.39159709215164185
193,32,0.4091286361217499
194,16,0.4472072422504425
195,32,0.5013241171836853
196,16,0.412977933883667
197,32,0.3650568723678589
198,16,0.39107850193977356
199,32,0.2948148846626282
200,16,0.40799272060394287
201,32,0.45410504937171936
202,16,0.39401325583457947
203,32,0.31682920455932617
204,16,0.4374043643474579
205,32,0.3319449722766876
206,16,0.4017471671104431
207,32,0.43040570616722107
208,16,0.4284042716026306
209,32,0.3693022131919861
210,16,0.3710074722766876
211,32,0.3795859217643738
212,16,0.4011114835739136
213,32,0.416892945766449
214,16,0.4104659855365753
215,32,0.3597181439399719
216,16,0.41932085156440735
217,32,0.40850886702537537
218,16,0.420738160610199
219,32,0.40259820222854614
220,16,0.4422645568847656
221,32,0.48599979281425476
222,16,0.4182613790035248
223,32,0.30562373995780945
224,16,0.4113192558288574
225,32,0.3206280469894409
226,16,0.41224154829978943
227,32,0.3645816147327423
228,16,0.410220205783844
229,32,0.4414217174053192
230,16,0.41020122170448303
231,32,0.3832302689552307
232,16,0.4045734405517578
233,32,0.41202837228775024
234,16,0.4144064486026764
235,32,0.3895112872123718
236,16,0.43063417077064514
237,32,0.4222220778465271
238,16,0.404398113489151
239,32,0.33542701601982117
240,16,0.47923743724823
241,32,0.45931118726730347
242,16,0.36193257570266724
243,32,0.4211319088935852
244,16,0.47097909450531006
245,32,0.41502559185028076
246,16,0.4834956228733063
247,32,0.3335071802139282
248,16,0.40418508648872375
249,32,0.46566131711006165
250,16,0.3770409822463989
251,32,0.44295719265937805
252,16,0.4427213966846466
253,32,0.41613277792930603
254,16,0.39265888929367065
255,32,0.3331119120121002
256,16,0.4402370750904083
257,32,0.3200262486934662
258,16,0.3973272144794464
259,32,0.3784577548503876
260,16,0.4541017711162567
261,32,0.5079737305641174
262,16,0.44979923963546753
263,32,0.3391101062297821
264,16,0.41448134183883667
265,32,0.3724593222141266
266,16,0.42888885736465454
267,32,0.2509605586528778
268,16,0.41245049238204956
269,32,0.35050681233406067
270,16,0.44921162724494934
271,32,0.45356735587120056
272,16,0.39334192872047424
273,32,0.3580428659915924
274,16,0.44426828622817993
275,32,0.35378801822662354
276,16,0.41274333000183105
277,32,0.3812064528465271
278,16,0.32200875878334045
279,32,0.38142040371894836
280,16,0.3715241253376007
281,32,0.4340260326862335
282,16,0.4102872908115387
283,32,0.38308942317962646
284,16,0.3970823585987091
285,32,0.41776201128959656
286,16,0.39114800095558167
287,32,0.36776161193847656
288,16,0.3911668062210083
289,32,0.39582985639572144
290,16,0.40476661920547485
291,32,0.3233318328857422
292,16,0.3762480318546295
293,32,0.43570375442504883
294,16,0.39431053400039673
295,32,0.308223158121109
296,16,0.38670969009399414
297,32,0.35922208428382874
298,16,0.4327368140220642
299,32,0.29250556230545044
300,16,0.3486936688423157
301,32,0.39389240741729736
302,16,0.38563019037246704
303,32,0.3674725294113159
304,16,0.35556966066360474
305,32,0.39055100083351135
306,16,0.39951491355895996
307,32,0.4253466725349426
308,16,0.36084645986557007
309,32,0.36411380767822266
310,16,0.39076724648475647
311,32,0.374546617269516
312,16,0.4160962700843811
313,32,0.30841514468193054
314,16,0.38865742087364197
315,32,0.41850119829177856
316,16,0.3619743287563324
317,32,0.2715715169906616
318,16,0.4043656885623932
319,32,0.3331245481967926
320,16,0.3685052990913391
321,32,0.38993555307388306
322,16,0.35329142212867737
323,32,0.2733742892742157
324,16,0.36228060722351074
325,32,0.3822011947631836
326,16,0.349587082862854
327,32,0.2969128489494324
